,album,song_title,lyric
61,Live from Paris,The Archer (Live from Paris) ,"[Verse 1] Combat, I'm ready for combat I say I don't want that, but what if I do? 'Cause cruelty wins in the movies I've got a hundred thrown-out speeches I almost said to you [Pre-Chorus] Easy they come, easy they go I jump from the train, I ride off alone I never grew up, it's getting so old Help me hold on to you [Chorus] I've been the archer I've been the prey Who could ever leave me, darling But who could stay? [Verse 2] Dark side, I search for your dark side But what if I'm alright, right, right, right here? And I cut off my nose just to spite my face Then I hate my reflection for years and years [Pre-Chorus] I wake in the night, I pace like a ghost The room is on fire, invisible smoke And all of my heroes die all alone Help me hold on to you [Chorus] I've been the archer I've been the prey Screaming, who could ever leave me, darling But who could stay? (I see right through me, I see right through me) [Bridge] 'Cause they see right through me They see right through me They see right through Can you see right through me? They see right through They see right through me I see right through me I see right through me [Pre-Chorus] All the king's horses, all the king's men Couldn't put me together again 'Cause all of my enemies started out friends Help me hold on to you [Chorus] I've been the archer I've been the prey Who could ever leave me, darling But who could stay? (I see right through me, I see right through me) But who could stay? Who could stay? Who could stay? Who could stay? Who could stay? You could stay You [Outro] Combat, I'm ready for combat"
62,Live from Paris,The Man (Live From Paris) ,"[Verse 1] I would be complex, I would be cool They'd say I played the field before I found someone to commit to And that would be okay for me to do Every conquest I had made would make me more of a boss to you [Pre-Chorus] I'd be a fearless leader I'd be an alpha type When everyone believes ya What's that like? [Chorus] I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man [Verse 2] They'd say I hustled, put in the work They wouldn't shake their heads and question how much of this I deserve What I was wearing, or if I was rude Could all be separated from my good ideas and power moves [Pre-Chorus] And they would toast to me, oh Let the players play I'd be just like Leo in Saint-Tropez [Chorus] I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man And I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man I'd be the man, yeah [Bridge] What's it like to brag about raking in dollars And getting bitches and models? And it's all good if you're bad It's okay if you're mad If I was out flashing my dollars I'd be a bitch, not a baller They'd paint me out to be bad So, it's okay that I'm mad [Chorus] I'm so sick of running as fast as I can Wondering if I'd get there quicker if I was a man You know that I'm so sick of them coming at me again 'Cause if I was a man, then I'd be the man I'd be the man, yeah Yeah, I'd be the man, yeah Oh, I'd be the man I'd be the man [Outro] If I was a man Then I'd be the man"
63,Live from Paris,You Need To Calm Down (Live from Paris) ,"[Verse 1] You are somebody that I don't know But you're takin' shots at me like it's Patrón And I'm just like, damn, it's 7 AM Say it in the street, that's a knock-out But you say it in a Tweet, that's a cop-out And I'm just like, ""Hey, are you okay?"" [Pre-Chorus] And I ain't tryna mess with your self-expression But I've learned a lesson that stressin' and obsessin' 'bout somebody else is no fun And snakes and stones never broke my bones [Chorus] So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down You're being too loud And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh) You need to just stop Like can you just not step on my gown? You need to calm down [Verse 2] You are somebody that we don't know But you're comin' at my friends like a missile Why are you mad when you could be GLAAD? (You could be GLAAD) Sunshine on the street at the parade But you would rather be in the dark ages Makin' that sign must've taken all night [Pre-Chorus] You just need to take several seats and then try to restore the peace And control your urges to scream about all the people you hate 'Cause shade never made anybody less gay [Chorus] So oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down You're being too loud And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh) You need to just stop Like can you just not step on his gown? You need to calm down [Bridge] And we see you over there on the internet Comparin' all the girls who are killing it But we figured you out We all know now we all got crowns You need to calm down [Chorus] Oh-oh, oh-oh, oh-oh, oh-oh, oh-oh You need to calm down You're being too loud (You're being too loud) And I'm just like oh-oh, oh-oh, oh-oh, oh-oh, oh-oh (Oh) You need to just stop Like can you just not step on our gowns? You need to calm down [Outro] You need to just stop Like can you just not step on our gowns? You need to calm down"
64,Live from SoHo - EP,A Place In This World (Live from SoHo) ,"[Spoken Intro] So, we're gonna have the band take a little tiny break and I'm gonna play you a song that, uh, I wrote this when I was like thirteen years old and just moved to Nashville, and I knew that I wanted to end up making music and on a record label, but I didn't know how I was going to get there. And I wrote this song about it [Verse 1] I don't know what I want, so don't ask me Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down Even though I'm not the only one Who feels the way I do [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world [Verse 2] Got the radio on, my old blue jeans And I'm wearing my heart on my sleeve I'm feeling lucky today, got the sunshine Could you tell me what more do I need And tomorrow's just a mystery, oh yeah But that's OK [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world [Guitar Solo] [Chorus] I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on Oh I'm alone, on my own, and that's all I know 'Cause I'm just a girl, trying to find a place in this world"
65,Live from SoHo - EP,Picture to Burn (Live From SoHo) ,"[Intro] This one's called ""Picture to Burn"" One, two, three [Verse 1] Well, state the obvious, I didn't get my perfect fantasy I realize you love yourself more than you could ever love me So go and tell your friends that I'm obsessive and crazy That's fine, I'll tell mine you're gay And by the way [Chorus] I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned, you're just another picture to burn [Verse 2] Well, there's no time for tears I'm just sitting here planning my revenge There's nothing stopping me From going out with all of your best friends And if you come around saying sorry to me My daddy's gonna show you how sorry you'll be [Chorus] I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match an all my wasted time As far as I'm concerned, you're just another picture to burn [Bridge] And if you're missing me, you'd better keep it to yourself 'Cause coming back around here would be bad for your health [Chorus] 'Cause I hate that stupid old pickup truck you never let me drive You're a redneck heartbreak who's really bad at lying So watch me strike a match on all my wasted time In case you haven't heard I really really hate that Stupid old pickup truck you never let me drive You're a redneck heartbreak, who's really bad at lying So watch me strike a match on all my wasted time As far as I'm concerned, you're just another picture to burn [Outro] Burn, burn, burn, baby, burn You're just another picture to burn Baby, burn Thank you so much! Thank you!"
66,Live from SoHo - EP,Umbrella (Live from SoHo) ,"When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'mma stick it out to the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella, ella, eh, eh, eh) Under my umbrella (Ella, ella, eh, eh, eh) You have my heart And we'll never be worlds apart I may be in magazines But you'll still be my star Baby, ‘cause in the dark You can't see shiny cars And that's when you need me there With you I'll always share Because When the sun shine, we'll shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'mma stick it out till the end Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella You can stand under my umbrella (Ella, ella, eh, eh, eh) Under my umbrella (Ella, ella, eh, eh, eh)"
67,Love Story [UK CD Single] ,Love Story (Digital Dog Remix) ,"[Verse 1] We were both young when I first saw you I close my eyes, and the flashback starts I'm standing there On a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, ""hello"" Little did I know [Pre-Chorus 1] That you were Romeo, you were throwing pebbles And my daddy said, ""stay away from Juliet"" And I was crying on the staircase Begging you, ""please don't go,"" and I said [Chorus 1] Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story baby just say ""yes"" [Verse 2] So I sneak out to the garden to see you We keep quiet, 'cause we're dead if they knew So close your eyes Escape this town for a little while [Pre-Chorus 2] 'Cause you were Romeo, I was a scarlet letter And my daddy said, ""Stay away from Juliet"" But you were everything to me I was begging you please don't go and I said [Chorus 2] Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story baby just say ""yes"" Romeo, save me, they're trying to tell me how to feel This love is difficult, but it's real Don't be afraid, we'll make it out of this mess It's a love story baby just say ""yes"" Oh, oh [Bridge] I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town, and I said Romeo save me I've been feeling so alone I keep waiting for you but you never come Is this in my head? I don't know what to think He knelt to the ground and pulled out a ring [Chorus 3] And said: ""Marry me Juliet You'll never have to be alone I love you and that's all I really know I talked to your dad, go pick out a white dress It's a love story baby just say 'yes'"" [Outro] Oh, oh Oh, oh 'Cause we were both young when I first saw you"
68,Lover,Afterglow ,"[Verse 1] I blew things out of proportion, now you're blue Put you in jail for something you didn’t do I pinned your hands behind your back, oh Thought I had reason to attack, but no [Pre-Chorus 1] Fighting with a true love is boxing with no gloves Chemistry 'til it blows up, 'til there’s no us Why'd I have to break what I love so much? It's on your face, and I'm to blame, I need to say [Chorus] Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don’t wanna do this to you (Ooh) I don’t wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it’s all me, just don't go Meet me in the afterglow [Verse 2] It's so excruciating to see you low Just wanna lift you up and not let you go This ultraviolet morning light below Tells me this love is worth the fight, oh [Pre-Chorus 2] I lived like an island, punished you with silence Went off like sirens, just crying Why'd I have to break what I love so much? It’s on your face, don't walk away, I need to say [Chorus] Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant I'm sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow [Bridge] Tell me that you're still mine Tell me that we'll be just fine Even when I lose my mind I need to say Tell me that it's not my fault Tell me that I'm all you want Even when I break your heart I need to say [Chorus] Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you (Ooh) I don't wanna lose, I don't wanna lose this with you (Ooh) I need to say, hey, it's all me, just don't go Meet me in the afterglow"
69,Lover,Cornelia Street ,"[Verse 1] We were in the backseat Drunk on something stronger than the drinks in the bar ""I rent a place on Cornelia Street"" I say casually in the car We were a fresh page on the desk Filling in the blanks as we go As if the street lights pointed in an arrow head Leading us home [Chorus] And I hope I never lose you, hope it never ends I'd never walk Cornelia Street again That's the kinda heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystified by how this city screams your name And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again [Verse 2] Windows flung right open, autumn air Jacket 'round my shoulders is yours We bless the rains on Cornelia Street Memorize the creaks in the floor Back when we were card sharks, playing games I thought you were leading me on I packed my bags, left Cornelia Street Before you even knew I was gone [Pre-Chorus] But then you called, showed your hand I turned around before I hit the tunnel Sat on the roof, you and I [Chorus] I hope I never lose you, hope it never ends I'd never walk Cornelia Street again That's the kinda heartbreak time could never mend I'd never walk Cornelia Street again And baby, I get mystified by how this city screams your name And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again [Bridge] You hold my hand on the street Walk me back to that apartment Years ago, we were just inside Barefoot in the kitchen Sacred new beginnings That became my religion, listen [Chorus] I hope I never lose you I'd never walk Cornelia Street again Oh, never again And baby, I get mystified by how this city screams your name And baby, I'm so terrified of if you ever walk away I'd never walk Cornelia Street again I'd never walk Cornelia Street again [Post-Chorus] I don't wanna lose you (Hope it never ends) I'd never walk Cornelia Street again I don't wanna lose you (Yeah) [Outro] ""I rent a place on Cornelia Street"" I say casually in the car"
70,Lover,Cruel Summer ,"[Intro] (Yeah, yeah, yeah, yeah) [Verse 1] Fever dream high in the quiet of the night You know that I caught it (Oh yeah, you're right, I want it) Bad, bad boy, shiny toy with a price You know that I bought it (Oh yeah, you're right, I want it) [Pre-Chorus] Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more [Chorus] And it's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you [Verse 2] Hang your head low in the glow of the vending machine I'm not dying (Oh yeah, you're right, I want it) We say that we'll just screw it up in these trying times We're not trying (Oh yeah, you're right, I want it) [Pre-Chorus 2] So cut the headlights, summer's a knife I'm always waiting for you just to cut to the bone Devils roll the dice, angels roll their eyes And if I bleed, you'll be the last to know [Chorus] Oh, it's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you [Bridge] I'm drunk in the back of the car And I cried like a baby coming home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" He looks up, grinning like a devil [Chorus] It's new, the shape of your body It's blue, the feeling I've got And it's ooh, whoa oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, whoa oh It's a cruel summer With you [Outro] I'm drunk in the back of the car And I cried like a baby coming home from the bar (Oh) Said, ""I'm fine,"" but it wasn't true I don't wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate (Oh) And I scream, ""For whatever it's worth I love you, ain't that the worst thing you ever heard?"" (Yeah, yeah, yeah, yeah)"
71,Lover,Daylight ,"[Verse 1] My love was as cruel as the cities I lived in Everyone looked worse in the light There are so many lines that I've crossed unforgiven I'll tell you the truth, but never goodbye [Chorus] I don't wanna look at anything else now that I saw you I don't wanna think of anything else now that I thought of you I've been sleeping so long in a 20-year dark night And now I see daylight, I only see daylight [Verse 2] Luck of the draw only draws the unlucky And so I became the butt of the joke I wounded the good and I trusted the wicked Clearing the air, I breathed in the smoke Maybe you ran with the wolves and refused to settle down Maybe I've stormed out of every single room in this town Threw out our cloaks and our daggers because it's morning now It's brighter now, now [Chorus] I don't wanna look at anything else now that I saw you (I can never look away) I don't wanna think of anything else now that I thought of you (Things will never be the same) I've been sleeping so long in a 20-year dark night (Now I'm wide awake) And now I see daylight (Daylight), I only see daylight (Daylight) I only see daylight, daylight, daylight, daylight I only see daylight, daylight, daylight, daylight [Bridge] And I can still see it all (In my mind) All of you, all of me (Intertwined) I once believed love would be (Black and white) But it's golden (Golden) And I can still see it all (In my head) Back and forth from New York (Sneaking in your bed) I once believed love would be (Burning red) But it's golden Like daylight, like daylight Like daylight, daylight [Chorus] I don't wanna look at anything else now that I saw you (I can never look away) And I don't wanna think of anything else now that I thought of you (Things will never be the same) I've been sleeping so long in a 20-year dark night (Now I'm wide awake) And now I see daylight (I see daylight), I only see daylight (Ah) I only see daylight, daylight, daylight, daylight I only see daylight, daylight, daylight, daylight (Ah) (And I can still see it all) I only see daylight, daylight, daylight, daylight (And I can still see it all, back and forth from New York) I only see daylight, daylight, daylight, daylight (I once believed love would be burning red) [Outro] Like daylight It's golden like daylight You gotta step into the daylight and let it go Just let it go, let it go [Spoken Outro] I wanna be defined by the things that I love Not the things I hate Not the things I'm afraid of, I'm afraid of Or the things that haunt me in the middle of the night I, I just think that You are what you love"
72,Lover,Death by a Thousand Cuts ,"[Intro] My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my [Chorus] Saying goodbye is death by a thousand cuts Flashbacks waking me up I get drunk, but it's not enough ’Cause the morning comes and you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here ’Cause I can't pretend it's okay when it's not It's death by a thousand cuts [Verse 1] I dress to kill my time, I take the long way home I ask the traffic lights if it'll be alright They say, ""I don't know"" And what once was ours is no one's now I see you everywhere, the only thing we share Is this small town You said it was a great love, one for the ages But if the story’s over, why am I still writing pages? [Chorus] ’Cause saying goodbye is death by a thousand cuts Flashbacks waking me up I get drunk, but it's not enough ’Cause the morning comes and you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can’t pretend it's okay when it's not It's death by a thousand cuts [Verse 2] My heart, my hips, my body, my love Tryna find a part of me that you didn't touch Gave up on me like I was a bad drug Now I'm searching for signs in a haunted club Our songs, our films, united we stand Our country, guess it was a lawless land Quiet my fears with the touch of your hand Paper cut stings from our paper-thin plans My time, my wine, my spirit, my trust Tryna find a part of me you didn't take up Gave you so much, but it wasn't enough But I'll be alright, it's just a thousand cuts [Chorus] I get drunk, but it's not enough 'Cause you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can't pretend it's okay when it's not No, it's not It's death by a thousand cuts (You didn't touch) [Post-Chorus] Tryna find a part of me that you didn't touch My body, my love, my trust (It's death by a thousand cuts) But it wasn't enough, it wasn't enough, no, no [Outro] I take the long way home I ask the traffic lights if it'll be alright They say, ""I don't know"""
73,Lover,False God ,"[Verse 1] We were crazy to think Crazy to think that this could work Remember how I said I'd die for you? We were stupid to jump In the ocean separating us Remember how I’d fly to you? [Pre-Chorus] And I can't talk to you when you're like this Staring out the window like I’m not your favorite town I'm New York City I still do it for you, babe They all warned us about times like this They say the road gets hard and you get lost When you're led by blind faith, blind faith [Chorus] But we might just get away with it Religion's in your lips Even if it's a false god We'd still worship We might just get away with it The altar is my hips Even if it's a false god We'd still worship this love We’d still worship this love We’d still worship this love [Verse 2] I know heaven's a thing I go there when you touch me, honey Hell is when I fight with you But we can patch it up good Make confessions and we’re begging for forgiveness Got the wine for you [Pre-Chorus] And you can't talk to me when I'm like this Daring you to leave me just so I can try and scare you You're the West Village You still do it for me, babe They all warned us about times like this They say the road gets hard and you get lost When you’re led by blind faith, blind faith [Chorus] But we might just get away with it Religion's in your lips Even if it's a false god We'd still worship We might just get away with it The altar is my hips Even if it's a false god We'd still worship this love We'd still worship this love We'd still worship this love, ah [Outro] Still worship this love Even if it's a false god Even if it's a false god Still worship this love"
74,Lover,I Forgot That You Existed ,"[Verse 1] How many days did I spend thinking 'Bout how you did me wrong, wrong, wrong? Lived in the shade you were throwing 'Til all of my sunshine was gone, gone, gone And I couldn't get away from ya In my feelings more than Drake, so yeah Your name on my lips, tongue-tied Free rent, living in my mind [Pre-Chorus] But then something happened one magical night [Chorus] I forgot that you existed And I thought that it would kill me, but it didn't And it was so nice So peaceful and quiet I forgot that you existed It isn't love, it isn't hate, it's just indifference I forgot that you [Verse 2] Got out some popcorn As soon as my rep started going down, down, down Laughed on the school yard As soon as I tripped up and hit the ground, ground, ground And I would've stuck around for ya Would've fought the whole town, so yeah Would've been right there, front row Even if nobody came to your show [Pre-Chorus] But you showed who you are, then one magical night [Chorus] I forgot that you existed And I thought that it would kill me, but it didn't And it was so nice So peaceful and quiet I forgot that you existed It isn't love, it isn't hate, it's just indifference I forgot that you [Bridge] Sent me a clear message Taught me some hard lessons I just forget what they were It's all just a blur [Chorus] I forgot that you existed And I thought that it would kill me, but it didn't And it was so nice So peaceful and quiet I forgot that you existed I did, I did, I did It isn't hate, it's just indifference It isn't love, it isn't hate, it's just indifference So, yeah"
75,Lover,I Think He Knows ,"[Verse 1] I think he knows His footprints on the sidewalk Lead to where I can't stop Go there every night I think he knows His hands around a cold glass Make me wanna know that Body like it's mine [Pre-Chorus] He got that boyish look that I like in a man I am an architect, I'm drawing up the plans It's like I'm 17, nobody understands No one understands [Chorus] He got my heartbeat Skipping down 16th Avenue I got that, ah, I mean Wanna see what's under that attitude like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows [Verse 2] I think he knows When we get all alone I'll make myself at home And he'll want me to stay I think he knows He'd better lock it down Or I won't stick around 'Cause good ones never wait (Ha) [Pre-Chorus] He got that boyish look that I like in a man I am an architect, I'm drawing up the plans He's so obsessed with me and, boy, I understand Boy, I understand [Chorus] He got my heartbeat (Heartbeat) Skipping down 16th Avenue I got that, ah, I mean (I mean) Wanna see what's under that attitude like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows [Post-Chorus] I want you, bless my I want you, bless my I want you, bless my I want you, bless my soul [Bridge] Lyrical smile, indigo eyes, hand on my thigh We could follow the sparks, I'll drive Lyrical smile, indigo eyes, hand on my thigh We could follow the sparks, I'll drive ""So where we gonna go?"" I whisper in the dark ""Where we gonna go?"" I think he knows [Chorus] He got my heartbeat (Heartbeat) Skipping down 16th Avenue (Baby) I got that, ah, I mean (I mean) Wanna see what's under that attitude like (Yeah) I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows [Post-Chorus] I want you, bless my I want you, bless my I want you, bless my (Oh, baby) I want you, bless my soul (He got my heartbeat) I want you, bless my (Skipping down 16th Avenue, baby) I want you, bless my I want you, bless my soul And I ain't gotta tell him, I think he knows"
76,Lover,It’s Nice to Have a Friend ,"[Intro] Ooh Ooh [Verse 1] School bell rings, walk me home Sidewalk chalk covered in snow Lost my gloves, you give me one ""Wanna hang out?"" Yeah, sounds like fun Video games, you pass me a note Sleeping in tents [Chorus] It's nice to have a friend (Ooh) It's nice to have a friend (Ooh) [Verse 2] Light pink sky, up on the roof Sun sinks down, no curfew 20 questions, we tell the truth You've been stressed out lately, yeah, me too Something gave you the nerve To touch my hand [Chorus] It's nice to have a friend (Ooh) It's nice to have a friend (Ooh) [Instrumental bridge] [Verse 3] Church bells ring, carry me home Rice on the ground looks like snow Call my bluff, call you ""Babe"" Have my back, yeah, every day Feels like home, stay in bed The whole weekend [Chorus] It's nice to have a friend (Ooh) It's nice to have a friend (Ooh) It's nice to have a friend (Ooh) (Ooh)"
77,Lover,London Boy ,"[Intro: Idris Elba & James Corden] We can go driving in, on my scooter Uh, you know, just 'round London Oh, I'd... [Verse 1] I love my hometown as much as Motown, I love SoCal And you know I love Springsteen, faded blue jeans, Tennessee whiskey But something happened, I heard him laughing I saw the dimples first and then I heard the accent They say home is where the heart is But that's not where mine lives [Chorus] You know I love a London boy I enjoy walking Camden Market in the afternoon He likes my American smile, like a child when our eyes meet Darling, I fancy you Took me back to Highgate, met all of his best mates So I guess all the rumors are true You know I love a London boy Boy, I fancy you (Ooh) [Verse 2] And now I love high tea, stories from Uni, and the West End You can find me in the pub, we are watching rugby with his school friends Show me a gray sky, a rainy cab ride Babes, don't threaten me with a good time They say home is where the heart is But God, I love the English [Chorus] You know I love a London boy, I enjoy nights in Brixton Shoreditch in the afternoon He likes my American smile, like a child when our eyes meet Darling, I fancy you Took me back to Highgate, met all of his best mates So I guess all the rumors are true You know I love a London boy Boy, I fancy you [Bridge] So please show me Hackney Doesn't have to be Louis V up on Bond Street Just wanna be with you Wanna be with you Stick with me, I'm your queen Like a Tennessee Stella McCartney on the Heath Just wanna be with you (Wanna be with you) Wanna be with you (Oh) [Chorus] You know I love a London boy, I enjoy walking Soho Drinking in the afternoon (Yeah) He likes my American smile, like a child when our eyes meet Darling, I fancy you (You) Took me back to Highgate, met all of his best mates So I guess all the rumors are true (Yeah) You know I love a London boy (Oh) Boy (Oh), I fancy you (I fancy you, ooh) [Outro] So please show me Hackney Doesn't have to be Louis V up on Bond Street Just wanna be with you I, I, I fancy you Oh whoa, oh, I Stick with me, I'm your queen Like a Tennessee Stella McCartney on the Heath Just wanna be with you (Ooh) Wanna be with you I fancy you (Yeah), I fancy you Oh whoa, ah"
78,Lover,Lover ,"[Verse 1] We could leave the Christmas lights up 'til January And this is our place, we make the rules And there's a dazzling haze, a mysterious way about you, dear Have I known you 20 seconds or 20 years? [Chorus] Can I go where you go? Can we always be this close? Forever and ever, ah Take me out, and take me home You're my, my, my, my lover [Verse 2] We could let our friends crash in the living room This is our place, we make the call And I'm highly suspicious that everyone who sees you wants you I've loved you three summers now, honey, but I want 'em all [Chorus] Can I go where you go? Can we always be this close? Forever and ever, ah Take me out, and take me home (Forever and ever) You're my, my, my, my lover [Bridge] Ladies and gentlemen, will you please stand? With every guitar string scar on my hand I take this magnetic force of a man to be my lover My heart's been borrowed and yours has been blue All's well that ends well to end up with you Swear to be overdramatic and true to my lover And you'll save all your dirtiest jokes for me And at every table, I'll save you a seat, lover [Chorus] Can I go where you go? Can we always be this close? Forever and ever, ah Take me out, and take me home (Forever and ever) You're my, my, my, my Oh, you're my, my, my, my Darling, you're my, my, my, my lover"
79,Lover,ME!  (Ft. Brendon Urie),"[Intro: Taylor Swift] I promise that you'll never find another like me [Verse 1: Taylor Swift] I know that I'm a handful, baby, uh I know I never think before I jump And you're the kind of guy the ladies want (And there's a lot of cool chicks out there) I know that I went psycho on the phone I never leave well enough alone And trouble's gonna follow where I go (And there's a lot of cool chicks out there) [Pre-Chorus: Taylor Swift] But one of these things is not like the others Like a rainbow with all of the colors Baby doll, when it comes to a lover I promise that you'll never find another like [Chorus: Taylor Swift] Me-e-e, ooh-ooh-ooh-ooh I'm the only one of me Baby, that's the fun of me Eeh-eeh-eeh, ooh-ooh-ooh-ooh You're the only one of you Baby, that's the fun of you And I promise that nobody's gonna love you like me-e-e [Verse 2: Brendon Urie & Taylor Swift] I know I tend to make it about me I know you never get just what you see But I will never bore you, baby (And there's a lot of lame guys out there) And when we had that fight out in the rain You ran after me and called my name I never wanna see you walk away (And there's a lot of lame guys out there) [Pre-Chorus: Taylor Swift & Brendon Urie, Brendon Urie] 'Cause one of these things is not like the others Livin' in winter, I am your summer Baby doll, when it comes to a lover I promise that you'll never find another like [Chorus: Brendon Urie, Taylor Swift & Brendon Urie] Me-e-e, ooh-ooh-ooh-ooh I'm the only one of me Let me keep you company Eeh-eeh-eeh, ooh-ooh-ooh-ooh You're the only one of you Baby, that's the fun of you And I promise that nobody's gonna love you like me-e-e [Bridge: Brendon Urie, Taylor Swift & Both] Girl, there ain't no I in ""team"" But you know there is a ""me"" Strike the band up, 1, 2, 3 I promise that you'll never find another like me Girl, there ain't no I in ""team"" But you know there is a ""me"" And you can't spell ""awesome"" without ""me"" I promise that you'll never find another like [Chorus: Both, Taylor Swift & Brendon Urie] Me-e-e (Yeah), ooh-ooh-ooh-ooh (And I want ya, baby) I'm the only one of me (I'm the only one of me) Baby, that's the fun of me (Baby, that's the fun of me) Eeh-eeh-eeh, ooh-ooh-ooh-ooh (Oh) You're the only one of you (Oh) Baby, that's the fun of you And I promise that nobody's gonna love you like me-e-e [Outro: Brendon Urie, Taylor Swift & Both] Girl, there ain't no I in ""team"" (Ooh-ooh-ooh-ooh) But you know there is a ""me"" I'm the only one of me (Oh-oh) Baby, that's the fun of me (Eeh-eeh-eeh, ooh-ooh-ooh-ooh) Strike the band up, 1, 2, 3 You can't spell ""awesome"" without ""me"" You're the only one of you Baby, that's the fun of you And I promise that nobody's gonna love you like me-e-e"
