track_name,album,era,lyrics,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,clean_lyrics,neg,neu,pos,compound
Cornelia Street,Lover,Lover,"We were in the backseat
Drunk on something stronger than the drinks in the bar
""I rent a place on Cornelia Street""
I say casually in the car
We were a fresh page on the desk
Filling in the blanks as we go
As if the street lights pointed in an arrow head
Leading us home
And I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
Windows flung right open, autumn air
Jacket 'round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the floor
Back when we were card sharks, playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone
But then you called, showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I
I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
You hold my hand on the street
Walk me back to that apartment
Years ago, we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion, listen
I hope I never lose you
I'd never walk Cornelia Street again
Oh, never again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
I don't wanna lose you (Hope it never ends)
I'd never walk Cornelia Street again
I don't wanna lose you (Yeah)
""I rent a place on Cornelia Street""
I say casually in the car",0.824,0.624,-9.728,0.0827,0.781,0.000189,0.1,0.248,102.012,287267.0,0.0,1.0,backseat drunk something stronger drink bar rent place cornelia street say casually car fresh page desk filling blank go street light pointed arrow head leading u home hope never lose hope never end id never walk cornelia street thats kinda heartbreak time could never mend id never walk cornelia street baby get mystified city scream name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street window flung right open autumn air jacket round shoulder bless rain cornelia street memorize creak floor back card shark playing game thought leading packed bag left cornelia street even knew gone called showed hand turned around hit tunnel sat roof hope never lose hope never end id never walk cornelia street thats kinda heartbreak time could never mend id never walk cornelia street baby get mystified city scream name city scream name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street hold hand street walk back apartment year ago inside barefoot kitchen sacred new beginning became religion listen hope never lose id never walk cornelia street never baby get mystified city scream name city scream name baby im terrified ever walk away id never walk cornelia street id never walk cornelia street dont wanna lose hope never end id never walk cornelia street dont wanna lose rent place cornelia street say casually car,0.092,0.796,0.113,0.3932
Dress,reputation,Reputation,"Our secret moments in a crowded room
They got no idea about me and you
There is an indentation in the shape of you
Made your mark on me, a golden tattoo
All of this silence and patience, pining and anticipation
My hands are shakin' from holdin’ back from you, ha, ah, ah
All of this silence and patience, pining and desperately waitin'
My hands are shakin' from all this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don’t want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Inescapable, I'm not even gonna try
And if I get burned, at least we were electrified
I'm spillin' wine in the bathtub
You kiss my face and we're both drunk
Everyone thinks that they know us
But they know nothin' about
All of this silence and patience, pining and anticipation
My hands are shakin’ from holdin’ back from you, ha, ah, ah
All of this silence and patience, pining and desperately waitin'
My hands are shakin’ from all this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Ha-ah-ah, ha-ah-ah, ha-ah-ah-ah
Only bought this dress so you could take it off
Flashback when you met me
Your buzzcut and my hair bleached
Even in my worst times
You could see the best in me
Flashback to my mistakes
My rebounds, my earthquakes
Even in my worst lies
You saw the truth in me
And I woke up just in time
Now I wake up by your side
My one and only, my lifeline
I woke up just in time
Now I wake up by your side
My hands shake, I can’t explain this, ah, ha, ha, ha-ah
Say my name and everything just stops
I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
Carve your name into my bedpost
'Cause I don't want you like a best friend
Only bought this dress so you could take it off
Take it off, ha, ha, ha-ah
There is an indentation in the shape of you
(Only bought this dress so you could take it off)
You made your mark on me, golden tattoo
(Only bought this dress so you could take it off)",0.719,0.469,-8.792,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373.0,0.0,1.0,secret moment crowded room got idea indentation shape made mark golden tattoo silence patience pining anticipation hand shakin holdin back ha silence patience pining desperately waitin hand shakin ha ha haah say name everything stop dont want like best friend bought dress could take take ha ha haah carve name bedpost cause dont want like best friend bought dress could take take ha ha haah inescapable im even gonna try get burned least electrified im spillin wine bathtub kiss face drunk everyone think know u know nothin silence patience pining anticipation hand shakin holdin back ha silence patience pining desperately waitin hand shakin ha ha haah say name everything stop dont want like best friend bought dress could take take ha ha haah carve name bedpost cause dont want like best friend bought dress could take take ha ha haahah haahah haahahah bought dress could take haahah haahah haahahah bought dress could take flashback met buzzcut hair bleached even worst time could see best flashback mistake rebound earthquake even worst lie saw truth woke time wake side one lifeline woke time wake side hand shake cant explain ha ha haah say name everything stop dont want like best friend bought dress could take take ha ha haah carve name bedpost cause dont want like best friend bought dress could take take ha ha haah indentation shape bought dress could take made mark golden tattoo bought dress could take,0.058,0.702,0.24,0.9984
I Did Something Bad,reputation,Reputation,"I never trust a narcissist, but they love me
So I play 'em like a violin
And I make it look, oh, so easy
'Cause for every lie I tell them, they tell me three
This is how the world works
Now all he thinks about is me
I can feel the flames on my skin
Crimson red paint on my lips
If a man talks shit, then I owe him nothin'
I don't regret it one bit 'cause he had it comin'
They say I did somethin' bad
Then why's it feel so good?
They say I did somethin' bad
But why's it feel so good?
Most fun I ever had
And I'd do it over and over and over again if I could
It just felt so good, good
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
Da-da, da, da
I never trust a playboy, but they love me
So I fly 'em all around the world
And I let them think they saved me
They never see it comin', what I do next
This is how the world works
You gotta leave before you get left
I can feel the flames on my skin
He says, ""Don't throw away a good thing""
But if he drops my name, then I owe him nothin'
And if he spends my change, then he had it comin'
They say I did somethin' bad (
Da-da
)
Then why's it feel so good?
They say I did somethin' bad
But why's it feel so good?
Most fun I ever had
And I'd do it over and over and over again if I could
It just felt so good, good
Ra-di-di-di-di-di-di-di-di-di-da-da
Ra-di-di-di-di-di-di-di-di-di-da-da
(It just felt so good)
Ra-di-di-di-di-di-di-di-di-di-da-da
Da-da, da, da
They're burning all the witches, even if you aren't one
They got their pitchforks and proof, their receipts and reasons
They're burning all the witches, even if you aren't one
So light me up (Light me up), light me up (Light me up)
Light me up, go ahead and light me up (Light me up)
Light me up (Light me up), light me up (Light me up)
Light me up (Light me up), light me up
They say I did somethin' bad (Oh)
Then why's it feel so good? (So good)
They say I did somethin' bad
But why's it feel so (Good) good?
Most fun I ever had (Most fun I ever had)
And I'd do it over and over and over again if I could
It just felt so good (Good), good
Ra-di-di-di-di-di-di-di-di-di-da-da
 (Bad)
Ra-di-di-di-di-di-di-di-di-di-da-da
Oh, they say I did somethin' bad (They say I did somethin' bad)
Ra-di-di-di-di-di-di-di-di-di-da-da
Then why's it feel so good, good?
So good (Bad), why's it feel so good?
Why's it feel, why's it feel so good? (Bad)
It just felt so good, good",0.696,0.602,-6.156,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253.0,0.0,0.0,never trust narcissist love play em like violin make look easy cause every lie tell tell three world work think feel flame skin crimson red paint lip man talk shit owe nothin dont regret one bit cause comin say somethin bad why feel good say somethin bad why feel good fun ever id could felt good good radidididididididididada radidididididididididada radidididididididididada dada da da never trust playboy love fly em around world let think saved never see comin next world work gotta leave get left feel flame skin say dont throw away good thing drop name owe nothin spends change comin say somethin bad dada why feel good say somethin bad why feel good fun ever id could felt good good radidididididididididada radidididididididididada felt good radidididididididididada dada da da theyre burning witch even arent one got pitchfork proof receipt reason theyre burning witch even arent one light light light light light go ahead light light light light light light light light light say somethin bad why feel good good say somethin bad why feel good good fun ever fun ever id could felt good good good radidididididididididada bad radidididididididididada say somethin bad say somethin bad radidididididididididada why feel good good good bad why feel good why feel why feel good bad felt good good,0.076,0.66,0.264,0.9991
I Know Places,1989 (Deluxe),1989,"I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I, I-I (I, I)
You stand with your hand on my waistline
It's a scene and we're out here in plain sight
I can hear them whisper as we pass by
It's a bad sign, bad sign
Somethin' happens when everybody finds out
See the vultures circling, dark clouds
Love's a fragile little flame, it could burn out
It could burn out
'Cause they got the cages, they got the boxes and guns
They are the hunters, we are the foxes and we run
Baby, I know places we won't be found
And they'll be chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places, I know places
Lights flash and we'll run for the fences
Let them say what they want, we won't hear it
Loose lips sink ships all the damn time
Not this time
Just grab my hand and don't ever drop it, my love
They are the hunters, we are the foxes and we run
Baby (Baby), I know places we won't be found
And they'll (They'll) be (Be) chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places
They are the hunters, we are the foxes and we run
Just grab my hand and don't ever drop it, my love
Baby (Baby), I know places we won't be found
And they'll (They'll) be (Be) chasing their tails tryin' to track us down
'Cause I, I know places we can hide
I know places
(I) They take their shots, but we're bulletproof (I know places)
(Hide) And you know, for me, it's always you (I know places)
(I) In the dead of night, your eyes so green (I know places)
(Hide) And I know, for you, it's always me (I know places)
I-I-I-I, I-I-I-I
I-I-I-I, I-I-I-I (I, I)",0.596,0.763,-4.99,0.0661,0.231,0.0,0.2,0.507,159.958,195707.0,0.0,1.0,iiii iiii iiii iiii iiii iiii ii stand hand waistline scene plain sight hear whisper pas bad sign bad sign somethin happens everybody find see vulture circling dark cloud love fragile little flame could burn could burn cause got cage got box gun hunter fox run baby know place wont found theyll chasing tail tryin track u cause know place hide know place know place light flash well run fence let say want wont hear loose lip sink ship damn time time grab hand dont ever drop love hunter fox run baby baby know place wont found theyll theyll chasing tail tryin track u cause know place hide know place hunter fox run grab hand dont ever drop love baby baby know place wont found theyll theyll chasing tail tryin track u cause know place hide know place take shot bulletproof know place hide know always know place dead night eye green know place hide know always know place iiii iiii iiii iiii,0.057,0.89,0.053,-0.4687
Don’t Blame Me,reputation,Reputation,"Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
I've been breakin' hearts a long time
And toyin' with them older guys
Just playthings for me to use
Somethin' happened for the first time
In the darkest little paradise
Shaking, pacin', I just need you
For you, I would cross the line
I would waste my time
I would lose my mind
They say, ""She's gone too far this time""
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
My name is whatever you decide and
I'm just gonna call you mine
I'm insane, but I'm your baby (Your baby)
Echoes (Echoes) of your name inside my mind
Halo hidin' my obsession
I once was poison ivy, but now, I'm your daisy
And, baby, for you, I (I) would (Would) fall from grace
Just (Just) to (To) touch your face
If (If) you (You) walk away
I'd beg ya on my knees to stay
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (Yeah, ooh)
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Trip of my life, oh
Every time you're, every time you're touchin' me
You're touchin' me
Every time you're, every time you're lovin' me
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life
(Usin' for the rest of my life, oh, woah)
Don't blame me, love made me crazy
If it doesn't, you ain't doin' it right (Doin' it right, no)
Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (Oh)
Don't blame me, love made me crazy (Ooh)
If it doesn't, you ain't doin' it right (You ain't doin' it right)
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life (I'll be usin', I'll be usin')
I get so high, oh
Every time you're, every time you're lovin' me
You're lovin' me
Oh Lord, save me, my drug is my baby
I'll be usin' for the rest of my life",0.615,0.534,-6.719,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413.0,9.0,0.0,dont blame love made crazy doesnt aint doin right lord save drug baby ill usin rest life ive breakin heart long time toyin older guy plaything use somethin happened first time darkest little paradise shaking pacin need would cross line would waste time would lose mind say shes gone far time dont blame love made crazy doesnt aint doin right lord save drug baby ill usin rest life dont blame love made crazy doesnt aint doin right lord save drug baby ill usin rest life name whatever decide im gonna call mine im insane im baby baby echo echo name inside mind halo hidin obsession poison ivy im daisy baby would would fall grace touch face walk away id beg ya knee stay dont blame love made crazy doesnt aint doin right lord save drug baby ill usin rest life dont blame love made crazy doesnt aint doin right lord save drug baby ill usin rest life get high every time youre every time youre lovin youre lovin trip life every time youre every time youre touchin youre touchin every time youre every time youre lovin lord save drug baby ill usin rest life usin rest life woah dont blame love made crazy doesnt aint doin right doin right lord save drug baby ill usin rest life dont blame love made crazy doesnt aint doin right aint doin right lord save drug baby ill usin rest life ill usin ill usin get high every time youre every time youre lovin youre lovin lord save drug baby ill usin rest life,0.108,0.795,0.097,-0.612
How You Get The Girl,1989 (Deluxe),1989,"Oh, oh, oh
Oh, oh, oh
Oh-oh, oh-oh
Stand there like a ghost
Shaking from the rain, rain
She'll open up the door and say, ""Are you insane?""
Say it's been a long six months
And you were too afraid to tell her what you want, want
And that's how it works
That's how you get the girl
And then, you say
I want you for worse or for better
I would wait forever and ever
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (Oh-oh, oh)
And that's how it works
That's how you get the girl, girl
Remind her how it used to be, be, yeah-yeah
With pictures in frames of kisses on cheeks, cheeks
Tell her how you must have lost your mind, ooh-ooh
When you left her all alone
And never told her why, why
And that's how it works
That's how you lost the girl
And now, you say
I want you for worse or for better
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together
I would wait forever and ever
And that's how it works
That's how you get the girl, girl (Oh-oh, oh-oh)
And that's how it works
That's how you get the girl, girl
Yeah, yeah
And you know
Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh
That I don't want you to go, oh, oh
Remind me how it used to be
Pictures in frames of kisses on cheeks
And say you want me, yeah-yeah
And then you say
I want you for worse or for better (Worse or for better)
I would wait forever and ever (Ever and ever)
Broke your heart, I'll put it back together
I want you forever and ever (I would wait forever and ever)
And that's how it works
That's how you get the girl, girl (This is how it works)
And that's how it works
That's how you get the girl, girl (Get the girl)
(That's how it works)
And that's how it works
That's how you get the girl, girl
(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)
And that's how it works
That's how you get the girl, girl
(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)
And that's how it works
That's how you got the girl",0.764,0.66,-6.136,0.0494,0.00461,0.00477,0.0915,0.524,119.988,247533.0,5.0,1.0,ohoh ohoh stand like ghost shaking rain rain shell open door say insane say long six month afraid tell want want thats work thats get girl say want worse better would wait forever ever broke heart ill put back together would wait forever ever thats work thats get girl girl ohoh thats work thats get girl girl remind used yeahyeah picture frame kiss cheek cheek tell must lost mind oohooh left alone never told thats work thats lost girl say want worse better would wait forever ever ever ever broke heart ill put back together would wait forever ever thats work thats get girl girl ohoh ohoh thats work thats get girl girl know dont want go remind used picture frame kiss cheek say want yeahyeah say want worse better worse better would wait forever ever ever ever broke heart ill put back together want forever ever would wait forever ever thats work thats get girl girl work thats work thats get girl girl get girl thats work thats work thats get girl girl thats work thats get girl girl thats work thats got girl,0.066,0.858,0.076,-0.1779
cardigan,folklore,Folklore,"Vintage tee, brand new phone
High heels on cobblestones
When you are young, they assume you know nothing
Sequin smile, black lipstick
Sensual politics
When you are young, they assume you know nothing
But I knew you
Dancin' in your Levi's
Drunk under a streetlight, I
I knew you
Hand under my sweatshirt
Baby, kiss it better, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
A friend to all is a friend to none
Chase two girls, lose the one
When you are young, they assume you know nothing
But I knew you
Playing hide-and-seek and
Giving me your weekends, I
I knew you
Your heartbeat on the High Line
Once in twenty lifetimes, I
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite
To kiss in cars and downtown bars
Was all we needed
You drew stars around my scars
But now I'm bleedin'
'Cause I knew you
Steppin' on the last train
Marked me like a bloodstain, I
I knew you
Tried to change the ending
Peter losing Wendy, I
I knew you
Leavin' like a father
Running like water, I
And when you are young, they assume you know nothing
But I knew you'd linger like a tattoo kiss
I knew you'd haunt all of my what-ifs
The smell of smoke would hang around this long
'Cause I knew everything when I was young
I knew I'd curse you for the longest time
Chasin' shadows in the grocery line
I knew you'd miss me once the thrill expired
And you'd be standin' in my front porch light
And I knew you'd come back to me
You'd come back to me
And you'd come back to me
And you'd come back
And when I felt like I was an old cardigan
Under someone's bed
You put me on and said I was your favorite",0.613,0.581,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033,239560.0,0.0,0.0,vintage tee brand new phone high heel cobblestone young assume know nothing sequin smile black lipstick sensual politics young assume know nothing knew dancin levi drunk streetlight knew hand sweatshirt baby kiss better felt like old cardigan someone bed put said favorite friend friend none chase two girl lose one young assume know nothing knew playing hideandseek giving weekend knew heartbeat high line twenty lifetime felt like old cardigan someone bed put said favorite kiss car downtown bar needed drew star around scar im bleedin cause knew steppin last train marked like bloodstain knew tried change ending peter losing wendy knew leavin like father running like water young assume know nothing knew youd linger like tattoo kiss knew youd haunt whatifs smell smoke would hang around long cause knew everything young knew id curse longest time chasin shadow grocery line knew youd miss thrill expired youd standin front porch light knew youd come back youd come back youd come back youd come back felt like old cardigan someone bed put said favorite,0.06,0.746,0.194,0.9944
Mastermind,Midnights,Midnights,"Once upon a time, the planets and the fates
And all the stars aligned
You and I ended up in the same room
At the same time
And the touch of a hand lit the fuse
Of a chain reaction of countermoves
To assess the equation of you
Checkmate, I couldn't lose
What if I told you none of it was accidental?
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all by dеsign
'Cause I'm a mastermind
You see, all the wisеst women
Had to do it this way
'Cause we were born to be the pawn
In every lover's game
If you fail to plan, you plan to fail
Strategy sets the scene for the tale
I'm the wind in our free-flowing sails
And the liquor in our cocktails
What if I told you none of it was accidental?
And the first night that you saw me
I knew I wanted your body
I laid the groundwork, and then
Just like clockwork
The dominoes cascaded in a line
What if I told you I'm a mastermind?
And now you're mine
It was all my design
'Cause I'm a mastermind
No one wanted to play with me as a little kid
So I've been scheming like a criminal ever since
To make them love me and make it seem effortless
This is the first time I've felt the need to confess
And I swear
I'm only cryptic and Machiavellian
'Cause I care
So I told you none of it was accidental
And the first night that you saw me
Nothing was gonna stop me
I laid the groundwork, and then
Saw a wide smirk on your face
You knew the entire time
You knew that I'm a mastermind
And now you're mine
Yeah, all you did was smile
'Cause I'm a mastermind",0.662,0.357,-14.064,0.154,0.553,0.00129,0.0837,0.124,125.966,191039.0,4.0,1.0,upon time planet fate star aligned ended room time touch hand lit fuse chain reaction countermove assess equation checkmate couldnt lose told none accidental first night saw nothing gonna stop laid groundwork like clockwork domino cascaded line told im mastermind youre mine dеsign cause im mastermind see wisеst woman way cause born pawn every lover game fail plan plan fail strategy set scene tale im wind freeflowing sail liquor cocktail told none accidental first night saw knew wanted body laid groundwork like clockwork domino cascaded line told im mastermind youre mine design cause im mastermind one wanted play little kid ive scheming like criminal ever since make love make seem effortless first time ive felt need confess swear im cryptic machiavellian cause care told none accidental first night saw nothing gonna stop laid groundwork saw wide smirk face knew entire time knew im mastermind youre mine smile cause im mastermind,0.052,0.852,0.095,0.9381
I Forgot That You Existed,Lover,Lover,"How many days did I spend thinking
'Bout how you did me wrong, wrong, wrong?
Lived in the shade you were throwing
'Til all of my sunshine was gone, gone, gone
And I couldn't get away from ya
In my feelings more than Drake, so yeah
Your name on my lips, tongue-tied
Free rent, living in my mind
But then something happened one magical night
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you
Got out some popcorn
As soon as my rep started going down, down, down
Laughed on the school yard
As soon as I tripped up and hit the ground, ground, ground
And I would've stuck around for ya
Would've fought the whole town, so yeah
Would've been right there, front row
Even if nobody came to your show
But you showed who you are, then one magical night
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
It isn't love, it isn't hate, it's just indifference
I forgot that you
Sent me a clear message
Taught me some hard lessons
I just forget what they were
It's all just a blur
I forgot that you existed
And I thought that it would kill me, but it didn't
And it was so nice
So peaceful and quiet
I forgot that you existed
I did, I did, I did
It isn't hate, it's just indifference
It isn't love, it isn't hate, it's just indifference
So, yeah",0.664,0.316,-10.345,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640.0,5.0,1.0,many day spend thinking bout wrong wrong wrong lived shade throwing til sunshine gone gone gone couldnt get away ya feeling drake name lip tonguetied free rent living mind something happened one magical night forgot existed thought would kill didnt nice peaceful quiet forgot existed isnt love isnt hate indifference forgot got popcorn soon rep started going laughed school yard soon tripped hit ground ground ground wouldve stuck around ya wouldve fought whole town wouldve right front row even nobody came show showed one magical night forgot existed thought would kill didnt nice peaceful quiet forgot existed isnt love isnt hate indifference forgot sent clear message taught hard lesson forget blur forgot existed thought would kill didnt nice peaceful quiet forgot existed isnt hate indifference isnt love isnt hate indifference,0.15,0.662,0.187,0.9601
hoax,folklore,Folklore,"My only one
My smoking gun
My eclipsed sun
This has broken me down
My twisted knife
My sleepless night
My winless fight
This has frozen my ground
Stood on the cliffside screaming, ""Give me a reason""
Your faithless love's the only hoax I believe in
Don't want no other shade of blue but you
No other sadness in the world would do
My best laid plan
Your sleight of hand
My barren land
I am ash from your fire
Stood on the cliffside screaming, ""Give me a reason""
Your faithless love's the only hoax I believe in
Don't want no other shade of blue but you
No other sadness in the world would do
You know I left a part of me back in New York
You knew the hero died so what's the movie for?
You knew it still hurts underneath my scars
From when they pulled me apart
You knew the password so I let you in the door
You knew you won so what's the point of keeping score?
You knew it still hurts underneath my scars
From when they pulled me apart
But what you did was just as dark
(Ah, ah, ah)
Darling, this was just as hard
As when they pulled me apart
My only one
My kingdom come undone
My broken drum
You have beaten my heart
Don't want no other shade of blue but you
No other sadness in the world would do",0.662,0.181,-15.065,0.0415,0.966,3.86e-06,0.133,0.429,118.819,220043.0,8.0,1.0,one smoking gun eclipsed sun broken twisted knife sleepless night winless fight frozen ground stood cliffside screaming give reason faithless love hoax believe dont want shade blue sadness world would best laid plan sleight hand barren land ash fire stood cliffside screaming give reason faithless love hoax believe dont want shade blue sadness world would know left part back new york knew hero died whats movie knew still hurt underneath scar pulled apart knew password let door knew whats point keeping score knew still hurt underneath scar pulled apart dark darling hard pulled apart one kingdom come undone broken drum beaten heart dont want shade blue sadness world would,0.228,0.667,0.104,-0.9825
ME!,Lover,Lover,archer daylight daylight cruel daylight cruel summer archer daylight summer and I and the the love love we I love love I I the love I love we love the,0.61,0.83,-4.105,0.0571,0.033,0.0,0.118,0.728,182.162,193000.0,0.0,1.0,archer daylight daylight cruel daylight cruel summer archer daylight summer love love love love love love love,0.143,0.302,0.555,0.9744
