track_name,album,era,lyrics,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode
The Man,Lover,Lover,"I would be complex, I would be cool
They'd say I played the field before I found someone to commit to
And that would be okay for me to do
Every conquest I had made would make me more of a boss to you
I’d be a fearless leader, I'd be an alpha type
When everyone believes ya, what's that like?
I’m so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I'm so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I’d be the man (Man)
They’d say I hustled, put in the work
They wouldn't shake their heads and question how much of this I deserve
What I was wearing, if I was rude
Could all be separated from my good ideas and power moves
And they would toast to me, oh (Ayy), let the players play
I’d be just like Leo in Saint-Tropez
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man
And I’m so sick of them comin' at me again
'Cause if I was a man, then I'd be the man
I'd be the man (Man)
I'd be the man (Man)
What's it like to brag about raking in dollars
And getting bitches and models?
And it's all good if you're bad
And it's okay if you're mad
If I was out flashin' my dollars
I'd be a bitch, not a baller
They'd paint me out to be bad
So it's okay that I'm mad
I'm so sick of running as fast as I can
Wonderin' if I'd get there quicker if I was a man (You know that)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man (Then I'd be the man)
I'm so sick of running as fast as I can (As fast as I can)
Wonderin' if I'd get there quicker if I was a man (Hey)
And I'm so sick of them comin' at me again (Comin' at me again)
'Cause if I was a man (If I was a man), then I'd be the man
I'd be the man (Man)
I'd be the man (Man, oh)
I'd be the man (Man, yeah)
I'd be the man (Man, I'd be the man)
If I was a man
Then I'd be the man",0.777,0.658,-5.191,0.054,0.0767,0.0,0.0901,0.633,110.048,190360.0,0.0,1.0
I Wish You Would,1989 (Deluxe),1989,"It's 2 a.m. in your car
Windows down, you pass my street, the memories start
You say, ""It's in the past,"" you drive straight ahead
You're thinkin' that I hate you now
'Cause you still don't know what I never said
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live and I
Wish you were right here, right now, it's all good
I wish you would
It's 2 a.m. in my room
Headlights pass the window pane, I think of you
We're a crooked love in a straight line down
Makes you want to run and hide
But it makes you turn right back around
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live and I
Wish you were right here, right now, it's all good
I wish you would
I wish we could go back
And remember what we were fighting for and I
Wish you knew that
I miss you too much to be mad anymore and I
Wish you were right here, right now, it's all good
I wish you would
I, I-I-I, I, I, I wish, I wish, I
I, I-I-I, I, I, I wish, I wish, I
I, I-I-I, I, I, I wish, I wish, I (Hey)
You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)
You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)
This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)
To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)
I wish you would, I wish you would
(I wish you would, I wish you would)
I wish you would, I wish you would (I, I-I-I, I, I, I wish, I wish, I)
(I wish you would, I wish you would)
(I, I-I-I, I, I, I wish, I wish, I)
2 a.m., here we are
See your face, hear my voice in the dark
We're a crooked love in a straight line down
Makes you wanna run and hide
But it made us turn right back around
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live and I
Wish you were right here, right now, it's all good
I wish you would
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live and I
Wish you were right here, right now, it's all good
I wish you would
I wish we could go back
And remember what we were fighting for and I
Wish you knew that
I miss you too much to be mad anymore and I
Wish you were right here, right now, it's all good
I wish you would
You always knew how to push my buttons (I, I-I-I, I, I, I wish, I wish, I)
You give me everything and nothin' (I, I-I-I, I, I, I wish, I wish, I)
This mad, mad love makes you come runnin' (I, I-I-I, I, I, I wish, I wish, I)
To stand back where you stood (I, I-I-I, I, I, I wish, I wish, I)
I wish you would, I wish you would
(I wish you would, I wish you would)
(I, I-I-I, I, I, I wish, I wish, I)
I wish you would, I wish you would
(I wish you would, I wish you would, I wish you would)
(I, I-I-I, I, I, I wish, I wish, I)
I, I-I-I, I, I, I wish, I wish, I
I, I-I-I, I, I, I wish, I wish, I
I wish you would",0.648,0.898,-5.963,0.0513,0.016,9.91e-05,0.109,0.502,118.02,207440.0,0.0,1.0
it's time to go,evermore,Evermore,willow champagne gold evermore champagne willow evermore willow gold ivy love the we the we the love I love we the you we we the you the I we you,0.592,0.41,-12.426,0.0397,0.801,1.39e-05,0.09,0.416,151.923,254640.0,0.0,1.0
this is me trying,folklore,Folklore,"I've been having a hard time adjusting
I had the shiniest wheels, now they're rusting
I didn't know if you'd care if I came back
I have a lot of regrets about that
Pulled the car off the road to the lookout
Could've followed my fears all the way down
And maybe I don't quite know what to say
But I'm here in your doorway
I just wanted you to know that this is me trying
I just wanted you to know that this is me trying
They told me all of my cages were mental
So I got wasted like all my potential
And my words shoot to kill when I'm mad
I have a lot of regrets about that
I was so ahead of the curve, the curve became a sphere
Fell behind all my classmates and I ended up here
Pouring out my heart to a stranger
But I didn't pour the whiskey
I just wanted you to know that this is me trying
I just wanted you to know that this is me trying
At least I'm trying
And it's hard to be at a party when I feel like an open wound
It's hard to be anywhere these days when all I want is you
You're a flashback in a film reel on the one screen in my town
And I just wanted you to know that this is me trying
(And maybe I don't quite know what to say)
I just wanted you to know that this is me trying
At least I'm trying",0.515,0.476,-9.843,0.0328,0.314,4.74e-05,0.171,0.412,135.886,195097.0,9.0,1.0
High Infidelity,Midnights,Midnights,bejeweled anti-hero bejeweled bejeweled karma karma karma midnight midnight karma the we love you and the and we and we we I you we I and we and you the,0.646,0.529,-10.179,0.0864,0.723,0.0,0.0885,0.755,87.862,231475.0,10.0,1.0
End Game,reputation,Reputation,"I wanna be your end game
I wanna be your first string
I wanna be your A-Team (
Woah, woah
)
I wanna be your end game, end game
Big reputation, big reputation
Ooh, you and me, we got big reputations, ah
And you heard about me, ooh
I got some big enemies (
Yeah
)
Big reputation, big reputation
Ooh, you and me would be a big conversation, ah (Git, git)
And I heard about you, ooh (Yeah)
You like the bad ones too
You so dope, don't overdose, I’m so stoked, I need a toast
We do the most, I'm in the Ghost like I'm whippin’ a boat
I got a reputation, girl, that don't precede me (Yeah)
I'm one call away whenever you need me (Yeah)
I'm in a G5 (Yeah), come to the A-Side (Yeah)
I got a bad boy persona, that's what they like
You love it, I love it too 'cause you my type
You hold me down and I protect you with my life
I don't wanna touch you (I don't wanna be)
Just another ex-love (You don’t wanna see)
I don’t wanna miss you (
I don't wanna miss you
)
Like the other girls do
I don’t wanna hurt you (I just wanna be)
Drinkin' on the beach with (You all over me)
I know what they all say (
I know what they all say
)
But I ain't tryna play
I wanna be your end game (End game)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game
Knew her when I was young, reconnected when we were little bit older
Both sprung, I got issues and chips on both of my shoulders
Reputation precedes me, in rumours, I'm knee-deep
The truth is, it’s easier to ignore it, believe me
Even when we'd argue, we'd not do it for long
And you understand the good and bad end up in the song
For all your beautiful traits and the way you do it with ease
For all my flaws, paranoia and insecurities
I've made mistakes and made some choices, that's hard to deny
After the storm, somethin' was born on the 4th of July
Our past days were the fun, this end game is the one
With four words on the tip of my tongue, I'll never say it
I don't wanna touch you (
I don't wanna be
)
Just another ex-love (
You don't wanna see
)
I don't wanna miss you (I don't wanna miss you)
Like the other girls do
I don't wanna hurt you (I just wanna be)
Drinkin' on the beach with (
You all over me
)
I know what they all say (Yeah)
But I ain't tryna play (Ooh)
I wanna be your end game (End game)
I wanna be your first string (Wanna be your first string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game
Big reputation, big reputation
Ooh, you and me, we got big reputations, ah
And you heard about me, ooh
I got some big enemies (
Hey
)
Big reputation, big reputation
 (Big reputation, yeah)
Ooh, you and me would be a big conversation, ah
And I heard about you, ooh
You like the bad ones too
I hit you like bang, we tried to forget it, but we just couldn't
And I bury hatchets, but I keep maps of where I put 'em
Reputation precedes me, they told you I'm crazy
I swear I don't love the drama, it loves me
And I can't let you go, your handprints on my soul
It's like your eyes are liquor, it's like your body is gold
You've been callin' my bluff on all my usual tricks
So here's the truth from my red lips (Ooh, ah)
I wanna be your end game (End game)
I wanna be your first string (
Me and you
; First string)
I wanna be your A-Team (
Hey
; 
Be your A-Team now
; A-Team)
I wanna be your end game, end game
I wanna be your end game (Oh, I do; End game)
I wanna be your first string (First string)
I wanna be your A-Team (A-Team)
I wanna be your end game, end game",0.649,0.589,-6.237,0.0558,0.00845,0.0,0.108,0.151,159.073,244827.0,2.0,1.0
Lavender Haze,Midnights,Midnights,"Meet me at midnight
Staring at the ceiling with you
Oh, you don't ever say too much
And you don't really read into
My melancholia
I been under scrutiny (Yeah, oh, yeah)
You handle it beautifully (Yeah, oh, yeah)
All this shit is new to me (Yeah, oh, yeah)
I feel
The lavender haze creeping up on me
Surreal
I'm damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze
All they keep asking me (All they keep asking me)
Is if I'm gonna be your bride
The only kinda girl they see (Only kinda girl they see)
Is a one-night or a wife
I find it dizzying (Yeah, oh, yeah)
They're bringing up my history (Yeah, oh, yeah)
But you weren't even listening (Yeah, oh, yeah)
I feel
The lavender haze creepin' up on me
Surreal
I'm damned if I do give a damn what people say
No deal
The 1950s shit they want from me
I just wanna stay in that lavender haze
That lavender haze
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk (Get it off my desk)
Talk your talk and go viral
I just need this love spiral
Get it off your chest
Get it off my desk
I feel (I feel)
The lavender haze creeping up on me
Surreal
I'm damned if I do give a damn what people say
No deal (No deal)
The 1950s shit they want from me
I just wanna stay in that lavender haze
Get it off your chest
Get it off my desk
That lavender haze
I just wanna stay
I just wanna stay in that lavender haze",0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985,202396.0,10.0,1.0
False God,Lover,Lover,"We were crazy to think
Crazy to think that this could work
Remember how I said I'd die for you?
We were stupid to jump
In the ocean separating us
Remember how I’d fly to you?
And I can't talk to you when you're like this
Staring out the window like I’m not your favorite town
I'm New York City
I still do it for you, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you're led by blind faith, blind faith
But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We’d still worship this love
We’d still worship this love
I know heaven's a thing
I go there when you touch me, honey
Hell is when I fight with you
But we can patch it up good
Make confessions and we’re begging for forgiveness
Got the wine for you
And you can't talk to me when I'm like this
Daring you to leave me just so I can try and scare you
You're the West Village
You still do it for me, babe
They all warned us about times like this
They say the road gets hard and you get lost
When you’re led by blind faith, blind faith
But we might just get away with it
Religion's in your lips
Even if it's a false god
We'd still worship
We might just get away with it
The altar is my hips
Even if it's a false god
We'd still worship this love
We'd still worship this love
We'd still worship this love, ah
Still worship this love
Even if it's a false god
Even if it's a false god
Still worship this love",0.739,0.32,-10.862,0.239,0.736,0.000147,0.111,0.351,79.97,200307.0,11.0,0.0
mad woman,folklore,Folklore,"What did you think I'd say to that?
Does a scorpion sting when fighting back?
They strike to kill, and you know I will
You know I will
What do you sing on your drive home?
Do you see my face in the neighbor's lawn?
Does she smile?
Or does she mouth, ""Fuck you forever""?
Every time you call me crazy, I get more crazy
What about that?
And when you say I seem angry, I get more angry
And there's nothing like a mad woman
What a shame she went mad
No one likes a mad woman
You made her like that
And you'll poke that bear 'til her claws come out
And you find something to wrap your noose around
And there's nothing like a mad woman
Now I breathe flames each time I talk
My cannons all firin' at your yacht
They say, ""Move on,"" but you know I won't
And women like hunting witches too
Doing your dirtiest work for you
It's obvious that wanting me dead
Has really brought you two together
Every time you call me crazy, I get more crazy
What about that?
And when you say I seem angry, I get more angry
And there's nothing like a mad woman
What a shame she went mad
No one likes a mad woman
You made her like that
And you'll poke that bear 'til her claws come out
And you find something to wrap your noose around
And there's nothing like a mad woman
I'm taking my time, taking my time
'Cause you took everything from me
Watching you climb, watching you climb
Over people like me
The master of spin has a couple side flings
Good wives always know
She should be mad, should be scathing like me, but
No one likes a mad woman
What a shame she went mad
You made her like that",0.592,0.699,-8.995,0.0471,0.655,1.68e-05,0.114,0.506,141.916,237258.0,3.0,1.0
peace,folklore,Folklore,"Our coming-of-age has come and gone
Suddenly, this summer, it's clear
I never had the courage of my convictions
As long as danger is near
And it's just around the corner, darlin'
'Cause it lives in me
No, I could never give you peace
But I'm a fire and I'll keep your brittle heart warm
If your cascade, ocean wave blues come
All these people think love's for show
But I would die for you in secret
The devil's in the details, but you got a friend in me
Would it be enough if I could never give you peace?
Your integrity makes me seem small
You paint dreamscapes on the wall
I talk shit with my friends, it's like I'm wasting your honor
And you know that I'd swing with you for the fences
Sit with you in the trenches
Give you my wild, give you a child
Give you the silence that only comes when two people understand each other
Family that I chose, now that I see your brother as my brother
Is it enough?
But there's robbers to the east, clowns to the west
I'd give you my sunshine, give you my best
But the rain is always gonna come if you're standin' with me
But I'm a fire and I'll keep your brittle heart warm
If your cascade, ocean wave blues come
All these people think love's for show
But I would die for you in secret
The devil's in the details, but you got a friend in me
Would it be enough if I could never give you peace?
Would it be enough if I could never give you peace?
Would it be enough if I could never give you peace?",0.647,0.272,-12.906,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,234000.0,5.0,1.0
champagne problems,evermore,Evermore,"You booked the night train for a reason
So you could sit there in this hurt
Bustling crowds or silent sleepers
You're not sure which is worse
Because I dropped your hand while dancing
Left you out there standing
Crestfallen on the landing
Champagne problems
Your mom's ring in your pocket
My picture in your wallet
Your heart was glass, I dropped it
Champagne problems
You told your family for a reason
You couldn't keep it in
Your sister splashed out on the bottle
Now no one's celebrating
Dom Pérignon, you brought it
No crowd of friends applauded
Your hometown skeptics called it
Champagne problems
You had a speech, you're speechless
Love slipped beyond your reaches
And I couldn't give a reason
Champagne problems
Your Midas touch on the Chevy door
November flush and your flannel cure
""This dorm was once a madhouse""
I made a joke, ""Well, it's made for me""
How evergreen, our group of friends
Don't think we'll say that word again
And soon they'll have the nerve to deck the halls
That we once walked through
One for the money, two for the show
I never was ready so I watch you go
Sometimes you just don't know the answer
'Til someone's on their knees and asks you
""She would've made such a lovely bride
What a shame she's fucked in the head,"" they said
But you'll find the real thing instead
She'll patch up your tapestry that I shred
And hold your hand while dancing
Never leave you standing
Crestfallen on the landing
With champagne problems
Your mom's ring in your pocket
Her picture in your wallet
You won't remember all my
Champagne problems
You won't remember all my
Champagne problems",0.462,0.24,-12.077,0.0377,0.92,0.0,0.113,0.32,171.319,244000.0,0.0,1.0
